Neighborhood,Time Period,Median Home Price,Number of Sales,Days on Market,Price per Square Foot,Inventory Levels,Year-over-Year Price Change
Connaught Place,2021-01,10148258,21,66,5266,253,4.68
Connaught Place,2021-02,10246931,93,25,6956,454,0.97
Connaught Place,2021-03,10880890,61,77,9918,301,6.19
Connaught Place,2021-04,10501091,107,41,6470,351,-3.49
Connaught Place,2021-05,10421997,88,66,8684,51,-0.75
Connaught Place,2021-06,11162029,51,64,6309,240,7.1
Connaught Place,2021-07,11031252,61,76,8300,128,-1.17
Connaught Place,2021-08,11796280,22,35,11760,74,6.94
Connaught Place,2021-09,11887901,79,54,7719,420,0.78
Connaught Place,2021-10,12744895,49,58,7901,416,7.21
Connaught Place,2021-11,13570477,42,57,10335,119,6.48
Connaught Place,2021-12,13366317,89,37,11473,472,-1.5
Connaught Place,2022-01,13620014,95,44,16982,115,1.9
Connaught Place,2022-02,13173779,84,36,9787,242,-3.28
Connaught Place,2022-03,12798039,90,68,10029,55,-2.85
Connaught Place,2022-04,12730425,85,89,9245,352,-0.53
Connaught Place,2022-05,13365242,29,90,9110,207,4.99
Connaught Place,2022-06,14333807,85,35,7718,231,7.25
Connaught Place,2022-07,15106971,42,15,10340,93,5.39
Connaught Place,2022-08,15434722,16,23,10778,489,2.17
Connaught Place,2022-09,15609899,27,58,11623,310,1.13
Connaught Place,2022-10,16386147,69,39,11925,445,4.97
Connaught Place,2022-11,17426422,92,40,9773,314,6.35
Connaught Place,2022-12,17856381,74,77,12417,136,2.47
Connaught Place,2023-01,17157670,108,76,11857,435,-3.91
Connaught Place,2023-02,17627929,13,78,11372,384,2.74
Connaught Place,2023-03,18644719,15,51,22409,57,5.77
Connaught Place,2023-04,19774016,10,55,21377,258,6.06
Connaught Place,2023-05,19644842,36,21,10317,321,-0.65
Connaught Place,2023-06,20332800,115,15,18041,345,3.5
Connaught Place,2023-07,20156246,77,87,13464,119,-0.87
Connaught Place,2023-08,20973278,99,57,13067,209,4.05
Connaught Place,2023-09,20314204,69,19,17259,385,-3.14
Connaught Place,2023-10,19374593,33,45,16517,89,-4.63
Connaught Place,2023-11,19303180,80,29,13917,218,-0.37
Connaught Place,2023-12,19392440,54,78,13734,223,0.46
Vasant Kunj,2021-01,6068289,74,15,4455,468,3.4
Vasant Kunj,2021-02,6071337,97,30,3778,322,0.05
Vasant Kunj,2021-03,5910362,87,21,3825,317,-2.65
Vasant Kunj,2021-04,5879477,78,31,6884,307,-0.52
Vasant Kunj,2021-05,5851930,101,64,5133,459,-0.47
Vasant Kunj,2021-06,5854833,47,39,4795,404,0.05
Vasant Kunj,2021-07,5583184,80,56,3805,88,-4.64
Vasant Kunj,2021-08,5337727,98,73,3012,305,-4.4
Vasant Kunj,2021-09,5422397,53,63,5427,104,1.59
Vasant Kunj,2021-10,5392975,100,82,3709,326,-0.54
Vasant Kunj,2021-11,5413713,79,15,4899,410,0.38
Vasant Kunj,2021-12,5459968,81,25,4171,483,0.85
Vasant Kunj,2022-01,5402293,60,79,3796,349,-1.06
Vasant Kunj,2022-02,5270994,85,75,2781,184,-2.43
Vasant Kunj,2022-03,5340213,70,28,2812,199,1.31
Vasant Kunj,2022-04,5326710,28,44,4288,124,-0.25
Vasant Kunj,2022-05,5338731,23,81,5578,435,0.23
Vasant Kunj,2022-06,5519965,115,17,6216,126,3.39
Vasant Kunj,2022-07,5917501,94,15,7044,116,7.2
Vasant Kunj,2022-08,5905934,61,75,3812,143,-0.2
Vasant Kunj,2022-09,6039670,14,47,4247,432,2.26
Vasant Kunj,2022-10,6414294,50,80,3347,289,6.2
Vasant Kunj,2022-11,6296559,32,60,7697,206,-1.84
Vasant Kunj,2022-12,6657020,96,43,7731,181,5.72
Vasant Kunj,2023-01,7158346,71,52,8947,328,7.53
Vasant Kunj,2023-02,7524831,40,18,4260,184,5.12
Vasant Kunj,2023-03,7218338,95,46,8287,380,-4.07
Vasant Kunj,2023-04,7358756,84,68,7689,476,1.95
Vasant Kunj,2023-05,7791248,16,35,8158,233,5.88
Vasant Kunj,2023-06,7566183,57,39,3805,302,-2.89
Vasant Kunj,2023-07,7708538,91,34,5541,363,1.88
Vasant Kunj,2023-08,7720353,95,73,5471,374,0.15
Vasant Kunj,2023-09,8031183,30,15,7590,94,4.03
Vasant Kunj,2023-10,7791463,36,59,8609,420,-2.98
Vasant Kunj,2023-11,7709235,45,78,5813,492,-1.06
Vasant Kunj,2023-12,8018617,68,19,4200,68,4.01
Greater Kailash,2021-01,9228989,113,45,5644,100,-3.98
Greater Kailash,2021-02,9964319,112,22,5109,66,7.97
Greater Kailash,2021-03,10038097,30,40,11215,159,0.74
Greater Kailash,2021-04,10750206,20,78,7283,416,7.09
Greater Kailash,2021-05,10605615,115,68,9829,274,-1.35
Greater Kailash,2021-06,11029238,14,82,13304,260,3.99
Greater Kailash,2021-07,10839642,107,32,5430,56,-1.72
Greater Kailash,2021-08,11568137,82,28,12601,259,6.72
Greater Kailash,2021-09,11737449,97,41,8720,485,1.46
Greater Kailash,2021-10,11254518,75,26,9255,128,-4.11
Greater Kailash,2021-11,10859902,34,83,10264,314,-3.51
Greater Kailash,2021-12,10648424,112,42,8103,391,-1.95
Greater Kailash,2022-01,10122774,81,76,8256,445,-4.94
Greater Kailash,2022-02,9663795,104,57,9031,494,-4.53
Greater Kailash,2022-03,9250072,32,62,5291,160,-4.28
Greater Kailash,2022-04,9894098,22,50,5232,355,6.96
Greater Kailash,2022-05,10635769,99,61,5559,232,7.5
Greater Kailash,2022-06,10353469,96,44,9003,137,-2.65
Greater Kailash,2022-07,10688739,32,63,7586,166,3.24
Greater Kailash,2022-08,10510351,67,47,9179,377,-1.67
Greater Kailash,2022-09,10704692,65,66,8584,397,1.85
Greater Kailash,2022-10,10857282,22,15,5605,420,1.43
Greater Kailash,2022-11,11158845,74,27,6361,119,2.78
Greater Kailash,2022-12,11126043,62,45,13089,63,-0.29
Greater Kailash,2023-01,11770075,21,78,9631,261,5.79
Greater Kailash,2023-02,11490320,95,65,8645,162,-2.38
Greater Kailash,2023-03,11258228,24,83,12331,489,-2.02
Greater Kailash,2023-04,11341188,65,83,10282,495,0.74
Greater Kailash,2023-05,11184290,20,30,6964,338,-1.38
Greater Kailash,2023-06,11332628,13,71,7534,324,1.33
Greater Kailash,2023-07,11801640,20,39,10499,419,4.14
Greater Kailash,2023-08,12606962,11,31,8304,378,6.82
Greater Kailash,2023-09,12739937,20,53,9629,235,1.05
Greater Kailash,2023-10,12779237,62,29,7957,436,0.31
Greater Kailash,2023-11,13623906,81,66,13719,483,6.61
Greater Kailash,2023-12,13288487,71,39,16589,378,-2.46
Chanakyapuri,2021-01,8015276,77,42,8263,403,-3.62
Chanakyapuri,2021-02,8470652,88,67,8832,215,5.68
Chanakyapuri,2021-03,8953782,87,40,7792,202,5.7
Chanakyapuri,2021-04,9330515,81,55,5212,480,4.21
Chanakyapuri,2021-05,9153727,92,58,5793,83,-1.89
Chanakyapuri,2021-06,8855937,38,79,10839,340,-3.25
Chanakyapuri,2021-07,9139164,88,15,6622,278,3.2
Chanakyapuri,2021-08,8684125,46,57,8138,386,-4.98
Chanakyapuri,2021-09,9188907,32,38,5159,283,5.81
Chanakyapuri,2021-10,9439081,31,65,6288,412,2.72
Chanakyapuri,2021-11,10174023,14,16,6500,284,7.79
Chanakyapuri,2021-12,10594368,86,43,6328,328,4.13
Chanakyapuri,2022-01,10669209,80,42,11160,242,0.71
Chanakyapuri,2022-02,11436485,72,43,8534,471,7.19
Chanakyapuri,2022-03,11666353,72,60,8012,356,2.01
