Property ID,Property Type,Price (INR),Location,Bedrooms,Bathrooms,Square Footage,Amenities,Year Built,Property Description
PROP-0001,Apartment,6996853,South Extension,2,3,1537,"Power Backup, Gym",2010,Spacious and well-lit with modern amenities.
PROP-0002,House,145655151,Dwarka,3,2,3617,"Security, Power Backup, Swimming Pool, Gym",1995,Luxury property with top-notch features.
PROP-0003,Villa,167907620,Karol Bagh,1,4,2667,"Clubhouse, Security, Swimming Pool, Gym",2006,Newly renovated with smart home features.
PROP-0004,Apartment,180485475,Lajpat Nagar,1,2,2207,"Clubhouse, Power Backup",1982,Newly renovated with smart home features.
PROP-0005,Apartment,149189374,Lajpat Nagar,6,3,3202,"Security, 24/7 Water Supply",2015,Newly renovated with smart home features.
PROP-0006,Apartment,67850995,Rohini,6,3,3002,"Clubhouse, Garden, Gym, Lift, Parking",2014,Spacious and well-lit with modern amenities.
PROP-0007,Apartment,28037707,Preet Vihar,4,4,4969,"Garden, Swimming Pool",2006,Spacious and well-lit with modern amenities.
PROP-0008,Condo,88221554,Greater Kailash,3,4,4710,"Lift, Security, Parking, Garden",1999,Affordable yet stylish and comfortable.
PROP-0009,Apartment,39126712,Rohini,4,3,1465,"Clubhouse, Gym, Security, Parking",1990,"Ideal for families, located in a prime area."
PROP-0010,Condo,141434432,Rohini,4,4,563,"Power Backup, Clubhouse",2016,Luxury property with top-notch features.
PROP-0011,Apartment,64418428,Vasant Kunj,4,4,2021,"Lift, Garden, 24/7 Water Supply",1997,A cozy home with a stunning view.
PROP-0012,Villa,80749709,Dwarka,5,2,4978,"Garden, Lift, Gym",1997,"Ideal for families, located in a prime area."
PROP-0013,House,77330664,Preet Vihar,3,3,3623,"Parking, Clubhouse, Security",2003,"Ideal for families, located in a prime area."
PROP-0014,House,173053972,Karol Bagh,4,4,4197,"Garden, Power Backup",2021,Affordable yet stylish and comfortable.
PROP-0015,Apartment,98762314,Chattarpur,1,1,4169,"Parking, Security, Power Backup, Gym, Garden",1988,"Ideal for families, located in a prime area."
PROP-0016,Condo,119802314,Greater Kailash,4,3,2643,"Clubhouse, Garden, Swimming Pool, Power Backup, Gym",2008,"Ideal for families, located in a prime area."
PROP-0017,Condo,57025799,Dwarka,1,1,2568,"Garden, Parking",2002,Spacious and well-lit with modern amenities.
PROP-0018,Villa,187868882,Rohini,1,4,1985,"24/7 Water Supply, Clubhouse, Parking, Security, Gym",1981,Luxury property with top-notch features.
PROP-0019,Villa,40230806,Connaught Place,2,2,4644,"Gym, Lift, Clubhouse",1999,A cozy home with a stunning view.
PROP-0020,Villa,57911766,Dwarka,3,1,1733,"Parking, Security, Power Backup, Garden, Swimming Pool",2011,"Ideal for families, located in a prime area."
PROP-0021,House,16691306,Vasant Kunj,1,4,4813,"Security, 24/7 Water Supply",1999,"Ideal for families, located in a prime area."
PROP-0022,Villa,10363336,Lajpat Nagar,6,2,3091,"Garden, Security, Lift, 24/7 Water Supply",2000,Affordable yet stylish and comfortable.
PROP-0023,Apartment,32236463,Vasant Kunj,5,1,2659,"Power Backup, Garden, Security, 24/7 Water Supply, Clubhouse",2009,A cozy home with a stunning view.
PROP-0024,Villa,162178082,Karol Bagh,4,3,1366,"24/7 Water Supply, Parking, Garden",2013,A cozy home with a stunning view.
PROP-0025,House,128743506,Chattarpur,4,2,2188,"Lift, Security, Clubhouse, 24/7 Water Supply, Swimming Pool",2010,A cozy home with a stunning view.
PROP-0026,Apartment,95203286,South Extension,4,2,3710,"Swimming Pool, Parking, Garden, Lift, Gym",2010,Luxury property with top-notch features.
PROP-0027,Villa,135563376,Karol Bagh,5,3,4904,"Clubhouse, 24/7 Water Supply",2008,A cozy home with a stunning view.
PROP-0028,House,169123130,Chattarpur,6,2,3003,"Parking, Lift, Gym",2001,Affordable yet stylish and comfortable.
PROP-0029,Villa,171305593,Vasant Kunj,2,2,2176,"Power Backup, Garden, Clubhouse",1990,Spacious and well-lit with modern amenities.
PROP-0030,House,15853260,Rohini,6,4,2191,"Gym, Garden, Power Backup, Lift",2000,Affordable yet stylish and comfortable.
PROP-0031,House,142812988,Saket,5,2,2344,"24/7 Water Supply, Lift",2017,A cozy home with a stunning view.
PROP-0032,Condo,65878951,Rohini,4,3,3326,"Gym, 24/7 Water Supply, Clubhouse",1995,A cozy home with a stunning view.
PROP-0033,Apartment,161610232,Karol Bagh,2,4,4628,"Power Backup, Garden, Gym",2005,Affordable yet stylish and comfortable.
